"LaFayette","Walker","30707","Butler Farm","34.75989","-85.38421","269","360","05/06/1995","LAFAYET"
"Blue Ridge","Fannin","30513","Mercier Orchards","34.88512","-84.34240","548","292","05/09/2006","BLURIDGE"
"Blairsville","Union","30512","Georgia Mountain Research and Education Center","34.83897","-83.92807","590","150","01/25/1992","BLAIRSVI"
"Tiger","Rabun","30525","Tiger Mountain Orchards","34.84738","-83.42718","609","153","08/26/2004","TIGER"
"Rome","Floyd","30161","Northwest Georgia Research and Education Center","34.34328","-85.11632","187","200","07/15/1992","FLOYD"
"Calhoun","Gordon","30701","Fields Ferry Golf Club","34.55761","-84.81579","207","161","11/14/1997","CALHOUN"
"Ellijay","Gilmer","30540","Hillcrest Orchards","34.61980","-84.37405","508","355","03/19/2002","ELLIJAY"
"Dahlonega","Lumpkin","30533","Three Sisters Vineyards","34.61074","-83.87932","512","152","08/20/2002","DAHLON"
"Ball Ground","Cherokee","30107","Etowah River Treatment Facility","34.29298","-84.37622","307","368","06/09/2017","BALLGND"
"Oakwood","Hall","30503","Gainesville State College","34.23700","-83.87102","359","282","12/01/2009","OAKWOOD"
"Alto","Habersham","30510","Jaemor Farms","34.41936","-83.64683","399","367","05/12/2017","ALTO"
"Danielsville","Madison","30633","Madison County Emergency Medical Services","34.14541","-83.23844","237","275","10/05/2007","DANVILLE"
"Watkinsville-UGA","Oconee","30677","J. Phil Campbell Sr. Research and Education Center","33.86930","-83.44993","239","230","09/09/1991","WATUSDA"
"Dallas","Paulding","30132","Paulding County High School","33.89322","-84.83533","325","205","07/20/2000","DALLAS"
"Kennesaw","Cobb","30144","Kennesaw State University","34.03957","-84.58533","320","373","03/29/2018","KENNESAW"
"Johns Creek","Fulton","30096","Atlanta Athletic Club Golf Course","33.99764","-84.19415","282","270","05/27/1994","DULUTH"
"Penfield","Oconee","30677","Iron Horse Farm","33.72498","-83.30616","218","218","09/15/2016","PENFIELD"
"Elberton","Elbert","30635","Richard B. Russell Dam and Lake","34.02028","-82.60607","145","235","06/28/2003","ELBERTON"
"Roopville","Carroll","30217","Plant Wansley","33.42236","-85.05521","266","320","04/22/1995","WANSLEY"
"Jonesboro","Clayton","30236","The Beach at Clayton County International Park","33.52180","-84.31390","248","380","05/10/1996","JONESB"
"Covington","Newton","30014","The Georgia FFA-FCCLA Center","33.43850","-83.84468","214","291","04/25/2002","COVING"
"Eatonton","Putnam","31024","Central Georgia Research and Education Center","33.39693","-83.48822","164","170","03/14/1992","EATONTON"
"Sparta","Hancock","31087","County Commission","33.27780","-82.96622","163","285","04/25/2008","SPARTA"
"Dearing","McDuffie","30808","Center for Applied Nursery Research McCorkle Nurseries","33.36501","-82.40302","143","175","07/11/1998","DEARING"
