"Alapaha","Berrien","31622","Alapaha Range Grazing Unit - Blueberry Farm","31.34471","-83.24072","83","125","04/04/2003","ALAPAHA"
"Albany","Dougherty","31704","Marine Corps Logistics Base Albany","31.55402","-84.05194","63","353","04/28/2004","ALBANY"
"Alma","Bacon","31510","Alma - Bacon County Airport","31.54286","-82.51002","59","260","03/27/1993","ALMA"
"Alpharetta","Fulton","30041","Golf Club of Georgia","34.09204","-84.22242","318","375","06/20/2002","ALPHARET"
"Alto","Habersham","30510","Jaemor Farms","34.41936","-83.64683","399","367","05/12/2017","ALTO"
"Arabi","Crisp","31712","Hardin Farm","31.82782","-83.81641","100","298","10/12/2005","ARABI"
"Arlington","Baker","31713","Tony Smith Farms","31.35322","-84.63083","65","345","12/04/1996","ARLINGT"
"Attapulgus","Decatur","31715","Attapulgus Research and Education Center","30.76156","-84.48529","83","190","07/04/1992","ATTAPUL"
"Ball Ground","Cherokee","30107","Etowah River Treatment Facility","34.29298","-84.37622","307","368","06/09/2017","BALLGND"
"Baxley","Appling","31513","Miles Berry Farm","31.75127","-82.44431","62","265","09/07/2007","BAXLEY"
"Blairsville","Union","30512","Georgia Mountain Research and Education Center","34.83897","-83.92807","590","150","01/25/1992","BLAIRSVI"
"Blue Ridge","Fannin","30513","Mercier Orchards","34.88512","-84.34240","548","292","05/09/2006","BLURIDGE"
"Brunswick","Glynn","31520","College of Coastal Georgia","31.18550","-81.48283","3","420","10/27/1999","BRUNSW"
"Butler","Taylor","31076","Butler Place","32.55125","-84.18727","195","331","03/27/2015","BUTLER"
"Byromville","Dooly","31007","Murphy Farm","32.18962","-83.87672","118","257","05/26/2005","BYROMVIL"
"Byron","Peach","31008","USDA-ARS Southeastern Fruit & Nut Tree Laboratory","32.65755","-83.73745","149","430","09/29/2000","BYRON"
"Cairo","Grady","31728","Wight Nurseries","30.86181","-84.23141","79","195","10/14/1997","CAIRO"
"Calhoun","Gordon","30701","Fields Ferry Golf Club","34.55761","-84.81579","207","161","11/14/1997","CALHOUN"
"Camilla","Mitchell","31730","Stripling Irrigation Research Park","31.28008","-84.29161","49","146","02/23/2002","CAMILLA"
"Clarks Hill-SC","McCormick","29821","Thurmond Dam and Lake","33.65989","-82.19444","73","215","07/07/2004","CLARKSHI"
"Cordele","Crisp","31015","Catahoula Farms","32.02339","-83.94076","87","255","04/30/1997","CORDELE"
"Covington","Newton","30014","The Georgia FFA-FCCLA Center","33.43850","-83.84468","214","291","04/25/2002","COVING"
"Dahlonega","Lumpkin","30533","Three Sisters Vineyards","34.61074","-83.87932","512","152","08/20/2002","DAHLON"
"Dallas","Paulding","30132","Paulding County High School","33.89322","-84.83533","325","205","07/20/2000","DALLAS"
"Danielsville","Madison","30633","Madison County Emergency Medical Services","34.14541","-83.23844","237","275","10/05/2007","DANVILLE"
"Dawson","Terrell","31742","USDA-ARS. National Peanut Research Lab","31.75824","-84.43584","100","350","04/25/1995","DAWSON"
"Dawson-HHERC","Terrell","31742","Hooks-Hanner Environmental Resource Center - USDA-ARS National Peanut Research Labor","31.73282","-84.39533","97","348","06/29/2003","HHERC"
"Dearing","McDuffie","30808","Center for Applied Nursery Research McCorkle Nurseries","33.36501","-82.40302","143","175","07/11/1998","DEARING"
"Dixie","Brooks","31629","Boston Tractor Co., Inc.","30.79448","-83.66747","60","165","02/19/1998","DIXIE"
"Donalsonville","Seminole","31745","Donalsonville Municipal Airport","31.01538","-84.87981","42","433","10/26/2010","DONALSON"
"Douglas","Coffee","31533","Clyde Kirkland Farm","31.48864","-82.78500","65","296","10/05/2005","DOUGLAS"
"Dublin","Laurens","31021","Laurens County Emergency Management Service and 911 Center","32.49722","-82.92290","69","135","03/08/1997","DUBLIN"
"Ducker","Dougherty","31721","Albany State University","31.53322","-84.36933","60","356","11/17/2010","DUCKER"
"Dunwoody","Fulton","30075","Cherokee Town and Country Club","33.98924","-84.36160","320","370","09/19/1995","DUNWOODY"
